club_id,club_name,season,financial_year_end,field,value_original,page_number,statement_label,evidence_text,source_document,source_url
arsenal,Arsenal,2009/10,2010-05-31,broadcast_revenue_original,84584000.0,32,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,commercial_revenue_original,43973000.0,32,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,excluded_player_trading_revenue_original,460000.0,32,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,staff_costs_original,110733000.0,39,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,player_amortisation_original,25033000.0,38,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,profit_on_player_sales_original,38137000.0,32,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,profit_loss_before_tax_original,28000.0,42,Profit on ordinary activities before tax,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,net_debt_original,2000000.0,48,Computed net debt from total debt less cash and short-term deposits,Calculated from the annual report total debt disclosure and the cash / cash and short-term deposits note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,matchday_revenue_original,93108000.0,31,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,broadcast_revenue_original,85244000.0,31,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,commercial_revenue_original,46323000.0,31,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,excluded_player_trading_revenue_original,735000.0,31,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,staff_costs_original,124401000.0,32,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,player_amortisation_original,21658000.0,32,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2010/11,2011-05-31,profit_on_player_sales_original,6256000.0,31,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,matchday_revenue_original,95212000.0,30,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,broadcast_revenue_original,84701000.0,30,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,commercial_revenue_original,52515000.0,30,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,excluded_player_trading_revenue_original,2901000.0,30,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,staff_costs_original,143448000.0,31,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,player_amortisation_original,36802000.0,31,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,profit_on_player_sales_original,65456000.0,30,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,profit_loss_before_tax_original,36588000.0,34,Profit before taxation,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2011/12,2012-05-31,net_debt_original,1998000.0,41,Computed net debt from total debt less cash and short-term deposits,Calculated from the annual report total debt disclosure and the cash / cash and short-term deposits note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,matchday_revenue_original,92780000.0,30,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,broadcast_revenue_original,86025000.0,30,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,commercial_revenue_original,62422000.0,30,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,excluded_player_trading_revenue_original,1598000.0,30,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,staff_costs_original,154490000.0,31,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,player_amortisation_original,41349000.0,31,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,profit_on_player_sales_original,46986000.0,30,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,profit_loss_before_tax_original,6654000.0,34,Profit before taxation,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2012/13,2013-05-31,net_debt_original,6885000.0,41,Computed net debt from total debt less cash and short-term deposits,Calculated from the annual report total debt disclosure and the cash / cash and short-term deposits note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,matchday_revenue_original,100229000.0,29,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,broadcast_revenue_original,120762000.0,29,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,commercial_revenue_original,77154000.0,29,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,excluded_player_trading_revenue_original,513000.0,29,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,staff_costs_original,166403000.0,31,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,player_amortisation_original,40072000.0,30,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,profit_on_player_sales_original,6912000.0,29,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,profit_loss_before_tax_original,120000.0,33,Profit before taxation,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2013/14,2014-05-31,net_debt_original,185000.0,40,Computed net debt from total debt less cash and short-term deposits,Calculated from the annual report total debt disclosure and the cash / cash and short-term deposits note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,matchday_revenue_original,100401000.0,31,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,broadcast_revenue_original,124844000.0,31,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,commercial_revenue_original,103287000.0,31,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,excluded_player_trading_revenue_original,805000.0,31,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,staff_costs_original,192213000.0,32,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,player_amortisation_original,54430000.0,32,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,profit_on_player_sales_original,28944000.0,31,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,profit_loss_before_tax_original,120000.0,35,Profit before taxation,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2014/15,2015-05-31,net_debt_original,280000000.0,49,Net (debt) from analysis of changes in net debt,Annual report analysis of changes in net debt note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,matchday_revenue_original,99907000.0,33,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,broadcast_revenue_original,140579000.0,33,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,commercial_revenue_original,106907000.0,33,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,excluded_player_trading_revenue_original,3230000.0,33,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,staff_costs_original,195387000.0,39,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,player_amortisation_original,59257000.0,39,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,profit_on_player_sales_original,2047000.0,33,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,profit_loss_before_tax_original,12013000.0,37,Profit before taxation,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2015/16,2016-05-31,net_debt_original,0.0,44,Computed net debt from total debt less cash and short-term deposits,Calculated from the annual report total debt disclosure and the cash / cash and short-term deposits note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,matchday_revenue_original,99996000.0,37,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,broadcast_revenue_original,198637000.0,37,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,commercial_revenue_original,117234000.0,37,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,excluded_player_trading_revenue_original,6932000.0,37,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,staff_costs_original,199395000.0,39,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,player_amortisation_original,77126000.0,39,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,profit_on_player_sales_original,6760000.0,37,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,profit_loss_before_tax_original,3000.0,28,Profit before taxation,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2016/17,2017-05-31,net_debt_original,2019000000.0,54,Net (debt) from analysis of changes in net debt,Annual report analysis of changes in net debt note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2017/18,2018-05-31,matchday_revenue_original,98905000.0,21,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2018,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2017/18,2018-05-31,broadcast_revenue_original,180097000.0,21,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2018,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2017/18,2018-05-31,commercial_revenue_original,106918000.0,21,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2018,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2017/18,2018-05-31,excluded_player_trading_revenue_original,2311000.0,21,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2018,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2017/18,2018-05-31,staff_costs_original,240060000.0,26,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2018,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0
