season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,6,Athletic Bilbao,38,18,4,16,59,55,+4,58,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,7,Atlético Madrid,38,17,7,14,62,53,+9,58,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,8,Espanyol,38,15,4,19,46,55,-9,49,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,9,Osasuna,38,13,8,17,45,46,-1,47,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,10,Sporting Gijón,38,11,14,13,35,42,-7,47,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,11,Málaga,38,13,7,18,54,68,-14,46,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,12,Racing Santander,38,12,10,16,41,56,-15,46,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,13,Zaragoza,38,12,9,17,40,53,-13,45,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,14,Levante,38,12,9,17,41,52,-11,45,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,15,Real Sociedad,38,14,3,21,49,66,-17,45,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,16,Getafe,38,12,8,18,49,60,-11,44,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,17,Mallorca,38,12,8,18,41,56,-15,44,,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,18,Deportivo La Coruña (R),38,10,13,15,31,47,-16,43,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,19,Hércules (R),38,9,8,21,36,60,-24,35,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,20,Almería (R),38,6,12,20,36,70,-34,30,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2010%E2%80%9311_La_Liga
,1,Real Madrid (C),38,32,4,2,121,32,+89,100,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,2,Barcelona,38,28,7,3,114,29,+85,91,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,3,Valencia,38,17,10,11,59,44,+15,61,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,4,Málaga,38,17,7,14,54,53,+1,58,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,5,Atlético Madrid,38,15,11,12,53,46,+7,56,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,6,Levante,38,16,7,15,54,50,+4,55,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,7,Osasuna,38,13,15,10,44,61,-17,54,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,8,Mallorca,38,14,10,14,42,46,-4,52,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,9,Sevilla,38,13,11,14,48,47,+1,50,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,10,Athletic Bilbao,38,12,13,13,49,52,-3,49,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,11,Getafe,38,12,11,15,40,51,-11,47,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,12,Real Sociedad,38,12,11,15,46,52,-6,47,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,13,Real Betis,38,13,8,17,47,56,-9,47,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,14,Espanyol,38,12,10,16,46,56,-10,46,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,15,Rayo Vallecano,38,13,4,21,53,73,-20,43,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,16,Zaragoza,38,12,7,19,36,61,-25,43,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,17,Granada,38,12,6,20,35,56,-21,42,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,18,Villarreal (R),38,9,14,15,39,53,-14,41,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,19,Sporting Gijón (R),38,10,7,21,42,69,-27,37,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,20,Racing Santander (R),38,4,15,19,28,63,-35,27,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,1,Barcelona (C),38,32,4,2,115,40,+75,100,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,2,Real Madrid,38,26,7,5,103,42,+61,85,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,3,Atlético Madrid,38,23,7,8,65,31,+34,76,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,4,Real Sociedad,38,18,12,8,70,49,+21,66,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,5,Valencia,38,19,8,11,67,54,+13,65,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,6,Málaga,38,16,9,13,53,50,+3,57,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,7,Real Betis,38,16,8,14,57,56,+1,56,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,8,Rayo Vallecano,38,16,5,17,50,66,-16,53,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,9,Sevilla,38,14,8,16,58,54,+4,50,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,10,Getafe,38,13,8,17,43,57,-14,47,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,11,Levante,38,12,10,16,40,57,-17,46,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,12,Athletic Bilbao,38,12,9,17,44,65,-21,45,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,13,Espanyol,38,11,11,16,43,52,-9,44,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,14,Valladolid,38,11,10,17,49,58,-9,43,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,15,Granada,38,11,9,18,37,54,-17,42,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,16,Osasuna,38,10,9,19,33,50,-17,39,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,17,Celta Vigo,38,10,7,21,37,52,-15,37,,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,18,Mallorca (R),38,9,9,20,43,72,-29,36,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,19,Deportivo La Coruña (R),38,8,11,19,47,70,-23,35,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,20,Zaragoza (R),38,9,7,22,37,62,-25,34,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2012%E2%80%9313_La_Liga
,1,Atlético Madrid (C),38,28,6,4,77,26,+51,90,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,2,Barcelona,38,27,6,5,100,33,+67,87,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,3,Real Madrid,38,27,6,5,104,38,+66,87,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,4,Athletic Bilbao,38,20,10,8,66,39,+27,70,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,5,Sevilla,38,18,9,11,69,52,+17,63,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,6,Villarreal,38,17,8,13,60,44,+16,59,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,7,Real Sociedad,38,16,11,11,62,55,+7,59,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,8,Valencia,38,13,10,15,51,53,-2,49,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,9,Celta Vigo,38,14,7,17,49,54,-5,49,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,10,Levante,38,12,12,14,35,43,-8,48,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,11,Málaga,38,12,9,17,39,46,-7,45,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,12,Rayo Vallecano,38,13,4,21,46,80,-34,43,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,13,Getafe,38,11,9,18,35,54,-19,42,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,14,Espanyol,38,11,9,18,41,51,-10,42,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,15,Granada,38,12,5,21,32,56,-24,41,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,16,Elche,38,9,13,16,30,50,-20,40,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,17,Almería,38,11,7,20,43,71,-28,40,,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,18,Osasuna (R),38,10,9,19,32,62,-30,39,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,19,Valladolid (R),38,7,15,16,38,60,-22,36,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,20,Real Betis (R),38,6,7,25,36,78,-42,25,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2013%E2%80%9314_La_Liga
,1,Barcelona (C),38,30,4,4,110,21,+89,94,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,2,Real Madrid,38,30,2,6,118,38,+80,92,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,3,Atlético Madrid,38,23,9,6,67,29,+38,78,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,4,Valencia,38,22,11,5,70,32,+38,77,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,5,Sevilla,38,23,7,8,71,45,+26,76,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,6,Villarreal,38,16,12,10,48,37,+11,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,7,Athletic Bilbao,38,15,10,13,42,41,+1,55,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,8,Celta Vigo,38,13,12,13,47,44,+3,51,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,9,Málaga,38,14,8,16,42,48,-6,50,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,10,Espanyol,38,13,10,15,47,51,-4,49,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,11,Rayo Vallecano,38,15,4,19,46,68,-22,49,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,12,Real Sociedad,38,11,13,14,44,51,-7,46,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,13,Elche (R),38,11,8,19,35,62,-27,41,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,14,Levante,38,9,10,19,34,67,-33,37,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,15,Getafe,38,10,7,21,33,64,-31,37,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,16,Deportivo La Coruña,38,7,14,17,35,60,-25,35,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,17,Granada,38,7,14,17,29,64,-35,35,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,18,Eibar,38,9,8,21,34,55,-21,35,,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,19,Almería (R),38,8,8,22,35,64,-29,29,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,20,Córdoba (R),38,3,11,24,22,68,-46,20,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2014%E2%80%9315_La_Liga
,1,Barcelona (C),38,29,4,5,112,29,+83,91,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,2,Real Madrid,38,28,6,4,110,34,+76,90,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,3,Atlético Madrid,38,28,4,6,63,18,+45,88,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,4,Villarreal,38,18,10,10,44,35,+9,64,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,5,Athletic Bilbao,38,18,8,12,58,45,+13,62,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,6,Celta Vigo,38,17,9,12,51,59,-8,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,7,Sevilla,38,14,10,14,51,50,+1,52,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,8,Málaga,38,12,12,14,38,35,+3,48,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,9,Real Sociedad,38,13,9,16,45,48,-3,48,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,10,Real Betis,38,11,12,15,34,52,-18,45,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,11,Las Palmas,38,12,8,18,45,53,-8,44,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,12,Valencia,38,11,11,16,46,48,-2,44,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,13,Espanyol,38,12,7,19,40,74,-34,43,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,14,Eibar,38,11,10,17,49,61,-12,43,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,15,Deportivo La Coruña,38,8,18,12,45,61,-16,42,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,16,Granada,38,10,9,19,46,69,-23,39,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,17,Sporting Gijón,38,10,9,19,40,62,-22,39,,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,18,Rayo Vallecano (R),38,9,11,18,52,73,-21,38,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,19,Getafe (R),38,9,9,20,37,67,-30,36,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,20,Levante (R),38,8,8,22,37,70,-33,32,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2015%E2%80%9316_La_Liga
,1,Real Madrid (C),38,29,6,3,106,41,+65,93,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,2,Barcelona,38,28,6,4,116,37,+79,90,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,3,Atlético Madrid,38,23,9,6,70,27,+43,78,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,4,Sevilla,38,21,9,8,69,49,+20,72,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,5,Villarreal,38,19,10,9,56,33,+23,67,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,6,Real Sociedad,38,19,7,12,59,53,+6,64,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,7,Athletic Bilbao,38,19,6,13,53,43,+10,63,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,8,Espanyol,38,15,11,12,49,50,-1,56,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,9,Alavés,38,14,13,11,41,43,-2,55,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,10,Eibar,38,15,9,14,56,51,+5,54,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,11,Málaga,38,12,10,16,49,55,-6,46,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,12,Valencia,38,13,7,18,56,65,-9,46,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,13,Celta Vigo,38,13,6,19,53,69,-16,45,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,14,Las Palmas,38,10,9,19,53,74,-21,39,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,15,Real Betis,38,10,9,19,41,64,-23,39,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,16,Deportivo La Coruña,38,8,12,18,43,61,-18,36,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,17,Leganés,38,8,11,19,36,55,-19,35,,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,18,Sporting Gijón (R),38,7,10,21,42,72,-30,31,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,19,Osasuna (R),38,4,10,24,40,94,-54,22,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,20,Granada (R),38,4,8,26,30,82,-52,20,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2016%E2%80%9317_La_Liga
,1,Barcelona (C),38,28,9,1,99,29,+70,93,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,2,Atlético Madrid,38,23,10,5,58,22,+36,79,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,3,Real Madrid,38,22,10,6,94,44,+50,76,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,4,Valencia,38,22,7,9,65,38,+27,73,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,5,Villarreal,38,18,7,13,57,50,+7,61,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,6,Real Betis,38,18,6,14,60,61,-1,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,7,Sevilla,38,17,7,14,49,58,-9,58,Qualification for the Europa League second qualifying round,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,8,Getafe,38,15,10,13,42,33,+9,55,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,9,Eibar,38,14,9,15,44,50,-6,51,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,10,Girona,38,14,9,15,50,59,-9,51,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,11,Espanyol,38,12,13,13,36,42,-6,49,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,12,Real Sociedad,38,14,7,17,66,59,+7,49,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,13,Celta Vigo,38,13,10,15,59,60,-1,49,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,14,Alavés,38,15,2,21,40,50,-10,47,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,15,Levante,38,11,13,14,44,58,-14,46,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,16,Athletic Bilbao,38,10,13,15,41,49,-8,43,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,17,Leganés,38,12,7,19,34,51,-17,43,,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,18,Deportivo La Coruña (R),38,6,11,21,38,76,-38,29,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,19,Las Palmas (R),38,5,7,26,24,74,-50,22,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
,20,Málaga (R),38,5,5,28,24,61,-37,20,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2017%E2%80%9318_La_Liga
